no	date	place	latitude	longitude	deep	mag	intensity	name
59	1995/01/18 00:51:29.5	兵庫県南東部	34°41.0′N	135°10.5′E	16km	Ｍ4.8	３
60	1995/01/18 00:06:56.8	淡路島付近	34°29.6′N	134°54.0′E	5km	Ｍ4.2	１
61	1995/01/17 22:18:37.4	淡路島付近	34°28.7′N	134°51.6′E	12km	Ｍ4.7	２
62	1995/01/17 13:05:23.2	兵庫県南東部	34°41.5′N	135°10.2′E	15km	Ｍ4.8	３
63	1995/01/17 12:32:18.1	兵庫県南東部	34°42.5′N	135°11.1′E	18km	Ｍ4.2	２
64	1995/01/17 11:34:27.8	淡路島付近	34°34.1′N	134°59.4′E	12km	Ｍ4.2	１
65	1995/01/17 09:58:20.7	淡路島付近	34°30.5′N	134°53.4′E	14km	Ｍ4.2	２
66	1995/01/17 09:01:25.6	淡路島付近	34°31.7′N	134°53.9′E	10km	Ｍ4.2	２
67	1995/01/17 08:58:19.5	淡路島付近	34°35.1′N	135°00.3′E	19km	Ｍ4.7	４
68	1995/01/17 08:48:12.6	大阪湾	34°36.4′N	135°02.7′E	15km	Ｍ4.1	２
69	1995/01/17 08:30:37.1	淡路島付近	34°34.7′N	134°59.9′E	16km	Ｍ4.8	３
70	1995/01/17 08:21:48.2	淡路島付近	34°32.8′N	134°56.8′E	14km	Ｍ4.2	２
71	1995/01/17 08:15:17.8	兵庫県南東部	34°41.3′N	135°09.7′E	16km	Ｍ4.0	２
72	1995/01/17 07:57:14.6	淡路島付近	34°32.2′N	134°55.1′E	12km	Ｍ4.1	２
73	1995/01/17 07:47:47.4	淡路島付近	34°34.3′N	134°58.7′E	11km	Ｍ4.2	２
74	1995/01/17 07:38:36.3	兵庫県南東部	34°47.2′N	135°26.5′E	12km	Ｍ5.4	４
75	1995/01/17 07:00:36.5	淡路島付近	34°28.8′N	134°51.0′E	9km	Ｍ4.4	３
76	1995/01/17 06:54:34.5	播磨灘	34°33.1′N	134°55.6′E	13km	Ｍ4.4	２
77	1995/01/17 06:42:54.3	淡路島付近	34°32.4′N	134°55.5′E	12km	Ｍ4.6	２
78	1995/01/17 06:42:48.0	兵庫県南東部	34°47.0′N	135°25.2′E	15km	Ｍ4.5	２
79	1995/01/17 06:40:39.6	兵庫県南東部	34°41.7′N	135°10.5′E	14km	Ｍ4.0	２
80	1995/01/17 06:28:59.9	淡路島付近	34°31.5′N	134°54.7′E	12km	Ｍ5.0	２
81	1995/01/17 05:53:11.6	兵庫県南東部	34°40.7′N	135°09.0′E	9km	Ｍ5.0	４
82	1995/01/17 05:52:07.3	兵庫県南東部	34°40.1′N	135°08.7′E	15km	Ｍ4.0	３
83	1995/01/17 05:51:47.5	大阪湾	34°36.1′N	135°03.0′E	14km	Ｍ4.2	２
84	1995/01/17 05:50:23.9	兵庫県南東部	34°39.3′N	135°07.8′E	13km	Ｍ5.2	４
85	1995/01/17 05:49:48.8	兵庫県南東部	34°39.6′N	135°06.9′E	12km	Ｍ4.5	４
86	1995/01/17 05:49:35.1	大阪湾	34°37.4′N	135°04.3′E	13km	Ｍ4.2	３
87	1995/01/17 05:49:14.6	大阪湾	34°37.2′N	135°04.7′E	14km	Ｍ4.4	２
88	1995/01/17 05:46:51.8	大阪湾	34°35.9′N	135°02.1′E	16km	Ｍ7.3	７
