no	date	place	latitude	longitude	deep	mag	intensity	name
50	2016/04/20 16:01:30.2	熊本県熊本地方	32°50.2′N	130°47.9′E	15km	Ｍ4.0	３
51	2016/04/20 13:07:04.7	宮城県沖	38°30.2′N	141°56.0′E	56km	Ｍ4.1	１
52	2016/04/20 03:38:58.5	熊本県熊本地方	32°33.8′N	130°38.7′E	11km	Ｍ4.1	３
53	2016/04/20 00:29:30.1	熊本県熊本地方	32°32.0′N	130°38.4′E	8km	Ｍ4.0	３
54	2016/04/19 20:47:03.3	熊本県熊本地方	32°34.3′N	130°39.1′E	11km	Ｍ5.0	５弱
55	2016/04/19 19:05:36.5	千葉県北東部	35°44.0′N	140°42.0′E	49km	Ｍ4.3	２
56	2016/04/19 18:09:42.6	熊本県熊本地方	32°32.5′N	130°39.0′E	8km	Ｍ4.0	３
57	2016/04/19 17:57:17.9	熊本県熊本地方	32°32.0′N	130°38.3′E	8km	Ｍ4.0	３
58	2016/04/19 17:52:13.6	熊本県熊本地方	32°32.1′N	130°38.1′E	10km	Ｍ5.5	５強
59	2016/04/19 12:52:14.0	熊本県熊本地方	32°46.5′N	130°46.7′E	11km	Ｍ4.0	３
60	2016/04/19 11:46:58.4	沖縄本島近海	26°30.4′N	130°13.7′E	46km	Ｍ4.8	１
61	2016/04/19 06:20:01.1	熊本県阿蘇地方	33°00.8′N	131°11.0′E	7km	Ｍ4.1	４
62	2016/04/19 05:32:46.7	日高地方東部	42°14.3′N	142°54.5′E	52km	Ｍ4.1	２
63	2016/04/18 20:41:57.9	熊本県阿蘇地方	33°00.1′N	131°11.9′E	9km	Ｍ5.8	５強
64	2016/04/18 08:35:43.0	熊本県熊本地方	32°52.1′N	130°52.4′E	10km	Ｍ4.2	４
65	2016/04/18 08:24:18.4	福島県沖	37°04.3′N	141°11.1′E	51km	Ｍ4.2	３
66	2016/04/17 19:23:41.2	熊本県熊本地方	32°40.6′N	130°43.2′E	11km	Ｍ4.4	４
67	2016/04/17 13:13:58.0	熊本県阿蘇地方	32°58.3′N	131°05.9′E	6km	Ｍ4.4	４
68	2016/04/17 12:27:28.0	熊本県熊本地方	32°47.5′N	130°46.5′E	17km	Ｍ4.0	３
69	2016/04/17 10:59:14.6	熊本県熊本地方	32°33.3′N	130°42.3′E	8km	Ｍ4.1	３
70	2016/04/17 04:46:49.0	熊本県熊本地方	32°41.2′N	130°46.5′E	10km	Ｍ4.5	４
71	2016/04/17 03:30:20.4	熊本県阿蘇地方	33°01.1′N	131°10.9′E	7km	Ｍ4.0	４
72	2016/04/17 00:14:51.6	熊本県阿蘇地方	32°57.7′N	131°04.7′E	9km	Ｍ4.8	４
73	2016/04/16 23:54:28.9	熊本県阿蘇地方	33°02.3′N	131°11.9′E	8km	Ｍ4.2	４
74	2016/04/16 21:05:06.2	熊本県熊本地方	32°45.1′N	130°45.3′E	18km	Ｍ4.4	４
75	2016/04/16 18:25:10.7	熊本県熊本地方	32°39.1′N	130°43.3′E	10km	Ｍ4.0	４
76	2016/04/16 17:40:20.1	熊本県熊本地方	32°42.0′N	130°42.2′E	12km	Ｍ4.2	４
77	2016/04/16 16:02:01.0	熊本県熊本地方	32°41.9′N	130°43.2′E	12km	Ｍ5.4	５弱
78	2016/04/16 15:48:12.2	熊本県熊本地方	32°45.3′N	130°38.9′E	14km	Ｍ4.0	３
79	2016/04/16 14:27:04.0	熊本県熊本地方	32°39.0′N	130°44.5′E	8km	Ｍ4.6	４
80	2016/04/16 14:03:56.9	熊本県阿蘇地方	33°00.4′N	131°13.1′E	9km	Ｍ4.6	４
81	2016/04/16 11:02:51.7	熊本県熊本地方	32°45.5′N	130°46.6′E	15km	Ｍ4.4	４
82	2016/04/16 10:38:53.1	熊本県熊本地方	32°38.9′N	130°43.9′E	10km	Ｍ4.5	４
83	2016/04/16 09:50:06.2	熊本県熊本地方	32°51.1′N	130°49.7′E	15km	Ｍ4.5	５弱
84	2016/04/16 09:48:32.6	熊本県熊本地方	32°50.8′N	130°50.1′E	16km	Ｍ5.4	６弱
85	2016/04/16 09:16:28.3	熊本県熊本地方	32°32.7′N	130°39.1′E	7km	Ｍ4.5	４
86	2016/04/16 08:20:41.5	熊本県熊本地方	32°42.0′N	130°40.7′E	12km	Ｍ4.6	４
87	2016/04/16 07:42:33.2	熊本県熊本地方	32°46.5′N	130°44.5′E	11km	Ｍ4.2	４
88	2016/04/16 07:23:54.3	熊本県熊本地方	32°47.2′N	130°46.4′E	12km	Ｍ4.8	５弱
89	2016/04/16 07:11:37.4	大分県中部	33°16.2′N	131°23.7′E	6km	Ｍ5.4	５弱
90	2016/04/16 06:39:59.3	熊本県阿蘇地方	32°59.7′N	131°05.7′E	9km	Ｍ4.5	３
91	2016/04/16 06:11:28.0	熊本県阿蘇地方	33°03.9′N	131°08.7′E	12km	Ｍ4.1	４
92	2016/04/16 05:52:51.4	熊本県阿蘇地方	33°00.8′N	131°09.2′E	9km	Ｍ4.2	３
93	2016/04/16 05:34:13.5	熊本県熊本地方	32°32.5′N	130°42.6′E	6km	Ｍ4.2	４
94	2016/04/16 04:51:24.5	熊本県熊本地方	32°45.2′N	130°45.1′E	14km	Ｍ4.3	４
95	2016/04/16 04:24:26.1	熊本県阿蘇地方	32°58.8′N	131°04.4′E	12km	Ｍ4.6	４
96	2016/04/16 04:23:18.3	熊本県阿蘇地方	33°02.1′N	131°11.8′E	10km	Ｍ4.2	４
97	2016/04/16 04:18:15.0	熊本県阿蘇地方	33°01.1′N	131°08.3′E	10km	Ｍ4.2	４
98	2016/04/16 04:09:26.5	熊本県阿蘇地方	33°00.9′N	131°10.6′E	12km	Ｍ4.1	３
99	2016/04/16 04:05:49.2	熊本県熊本地方	32°47.8′N	130°48.7′E	12km	Ｍ4.0	４
100	2016/04/16 04:00:52.3	熊本県阿蘇地方	33°01.5′N	131°11.3′E	11km	Ｍ4.1	３
1	2016/04/16 23:54:28.9	熊本県阿蘇地方	33°02.3′N	131°11.9′E	8km	Ｍ4.2	４
2	2016/04/16 21:05:06.2	熊本県熊本地方	32°45.1′N	130°45.3′E	18km	Ｍ4.4	４
3	2016/04/16 18:25:10.7	熊本県熊本地方	32°39.1′N	130°43.3′E	10km	Ｍ4.0	４
4	2016/04/16 17:40:20.1	熊本県熊本地方	32°42.0′N	130°42.2′E	12km	Ｍ4.2	４
5	2016/04/16 16:02:01.0	熊本県熊本地方	32°41.9′N	130°43.2′E	12km	Ｍ5.4	５弱
6	2016/04/16 15:48:12.2	熊本県熊本地方	32°45.3′N	130°38.9′E	14km	Ｍ4.0	３
7	2016/04/16 14:27:04.0	熊本県熊本地方	32°39.0′N	130°44.5′E	8km	Ｍ4.6	４
8	2016/04/16 14:03:56.9	熊本県阿蘇地方	33°00.4′N	131°13.1′E	9km	Ｍ4.6	４
9	2016/04/16 11:02:51.7	熊本県熊本地方	32°45.5′N	130°46.6′E	15km	Ｍ4.4	４
10	2016/04/16 10:38:53.1	熊本県熊本地方	32°38.9′N	130°43.9′E	10km	Ｍ4.5	４
11	2016/04/16 09:50:06.2	熊本県熊本地方	32°51.1′N	130°49.7′E	15km	Ｍ4.5	５弱
12	2016/04/16 09:48:32.6	熊本県熊本地方	32°50.8′N	130°50.1′E	16km	Ｍ5.4	６弱
13	2016/04/16 09:16:28.3	熊本県熊本地方	32°32.7′N	130°39.1′E	7km	Ｍ4.5	４
14	2016/04/16 08:20:41.5	熊本県熊本地方	32°42.0′N	130°40.7′E	12km	Ｍ4.6	４
15	2016/04/16 07:42:33.2	熊本県熊本地方	32°46.5′N	130°44.5′E	11km	Ｍ4.2	４
16	2016/04/16 07:23:54.3	熊本県熊本地方	32°47.2′N	130°46.4′E	12km	Ｍ4.8	５弱
17	2016/04/16 07:11:37.4	大分県中部	33°16.2′N	131°23.7′E	6km	Ｍ5.4	５弱
18	2016/04/16 06:39:59.3	熊本県阿蘇地方	32°59.7′N	131°05.7′E	9km	Ｍ4.5	３
19	2016/04/16 06:11:28.0	熊本県阿蘇地方	33°03.9′N	131°08.7′E	12km	Ｍ4.1	４
20	2016/04/16 05:52:51.4	熊本県阿蘇地方	33°00.8′N	131°09.2′E	9km	Ｍ4.2	３
21	2016/04/16 05:34:13.5	熊本県熊本地方	32°32.5′N	130°42.6′E	6km	Ｍ4.2	４
22	2016/04/16 04:51:24.5	熊本県熊本地方	32°45.2′N	130°45.1′E	14km	Ｍ4.3	４
23	2016/04/16 04:24:26.1	熊本県阿蘇地方	32°58.8′N	131°04.4′E	12km	Ｍ4.6	４
24	2016/04/16 04:23:18.3	熊本県阿蘇地方	33°02.1′N	131°11.8′E	10km	Ｍ4.2	４
25	2016/04/16 04:18:15.0	熊本県阿蘇地方	33°01.1′N	131°08.3′E	10km	Ｍ4.2	４
26	2016/04/16 04:09:26.5	熊本県阿蘇地方	33°00.9′N	131°10.6′E	12km	Ｍ4.1	３
27	2016/04/16 04:05:49.2	熊本県熊本地方	32°47.8′N	130°48.7′E	12km	Ｍ4.0	４
28	2016/04/16 04:00:52.3	熊本県阿蘇地方	33°01.5′N	131°11.3′E	11km	Ｍ4.1	３
29	2016/04/16 03:57:27.2	熊本県阿蘇地方	33°01.8′N	131°11.4′E	13km	Ｍ4.3	３
30	2016/04/16 03:55:53.0	熊本県阿蘇地方	33°01.5′N	131°11.4′E	11km	Ｍ5.8	６強
31	2016/04/16 03:26:52.2	熊本県阿蘇地方	32°57.1′N	131°04.6′E	10km	Ｍ4.0	４
32	2016/04/16 03:16:39.7	熊本県阿蘇地方	32°58.5′N	131°06.1′E	10km	Ｍ4.2	４
33	2016/04/16 03:10:19.2	熊本県阿蘇地方	32°57.7′N	131°05.7′E	9km	Ｍ4.1	４
34	2016/04/16 03:09:29.8	熊本県阿蘇地方	32°58.1′N	131°05.2′E	10km	Ｍ4.2	５弱
35	2016/04/16 03:03:10.7	熊本県阿蘇地方	32°57.8′N	131°05.2′E	7km	Ｍ5.9	５強
36	2016/04/16 03:01:04.5	岩手県沿岸北部	39°45.4′N	141°50.0′E	59km	Ｍ4.1	２
37	2016/04/16 02:14:17.2	熊本県熊本地方	32°44.7′N	130°46.1′E	14km	Ｍ4.0	３
38	2016/04/16 02:04:11.0	熊本県熊本地方	32°44.7′N	130°44.2′E	12km	Ｍ4.9	４
39	2016/04/16 01:58:16.2	熊本県熊本地方	32°40.8′N	130°44.4′E	10km	Ｍ4.2	３
40	2016/04/16 01:56:14.3	熊本県熊本地方	32°47.5′N	130°47.9′E	12km	Ｍ4.6	４
41	2016/04/16 01:45:55.4	熊本県熊本地方	32°51.7′N	130°53.9′E	11km	Ｍ5.9	６弱
42	2016/04/16 01:44:49.2	熊本県熊本地方	32°39.8′N	130°42.5′E	13km	Ｍ4.3	３
43	2016/04/16 01:44:07.4	熊本県熊本地方	32°45.1′N	130°45.6′E	15km	Ｍ5.4	５弱
44	2016/04/16 01:39:43.3	熊本県阿蘇地方	32°57.4′N	131°06.7′E	8km	Ｍ4.0	４
45	2016/04/16 01:38:21.7	熊本県熊本地方	32°44.5′N	130°45.2′E	13km	Ｍ4.5	４
46	2016/04/16 01:36:49.9	熊本県熊本地方	32°40.2′N	130°43.1′E	13km	Ｍ4.1	４
47	2016/04/16 01:34:25.3	熊本県熊本地方	32°52.1′N	130°52.8′E	9km	Ｍ4.3	４
